human_readable_date,machine_readable_date
21 october 1994,1994-10-21
tue 22 may 2012,2012-05-22
wednesday april 18 1990,1990-04-18
10/16/79,1979-10-16
january 13 2016,2016-01-13
may 18 2019,2019-05-18
saturday september 18 1976,1976-09-18
fri 1 may 1970,1970-05-01
oct 18 1988,1988-10-18
3/16/74,1974-03-16
may 14 1996,1996-05-14
may 26 1995,1995-05-26
january 19 2020,2020-01-19
fri 24 mar 1989,1989-03-24
10 dec 1996,1996-12-10
fri 22 jun 2001,2001-06-22
oct 5 1976,1976-10-05
14/07/1974,1974-07-14
thursday april 23 2009,2009-04-23
saturday december 8 2001,2001-12-08
19 may 1984,1984-05-19
sep 7 1970,1970-09-07
tuesday 12 september 2017,2017-09-12
october 11 2019,2019-10-11
sat 7 jan 2006,2006-01-07
6 oct 1974,1974-10-06
11 february 2021,2021-02-11
25 mar 2007,2007-03-25
11 may 2012,2012-05-11
march 12 1993,1993-03-12
8/24/18,2018-08-24
21 january 1971,1971-01-21
mar 7 1982,1982-03-07
21/11/1988,1988-11-21
3 january 1990,1990-01-03
thursday june 16 2011,2011-06-16
october 18 1976,1976-10-18
march 2 1970,1970-03-02
saturday october 21 1972,1972-10-21
thursday january 7 2021,2021-01-07
1 feb 1984,1984-02-01
january 28 2012,2012-01-28
wed 20 aug 1997,1997-08-20
nov 10 2016,2016-11-10
wednesday december 1 2010,2010-12-01
april 28 1975,1975-04-28
aug 16 2009,2009-08-16
friday june 24 1994,1994-06-24
4/3/89,1989-04-03
feb 18 2000,2000-02-18
24 may 1973,1973-05-24
july 30 2014,2014-07-30
16 may 1979,1979-05-16
may 18 2012,2012-05-18
wednesday august 2 1995,1995-08-02
4/11/08,2008-04-11
january 14 1997,1997-01-14
friday october 25 1996,1996-10-25
friday april 24 1987,1987-04-24
1 april 1970,1970-04-01
march 24 2001,2001-03-24
3/29/76,1976-03-29
august 8 2009,2009-08-08
25 june 2003,2003-06-25
31 august 1985,1985-08-31
september 6 1983,1983-09-06
7 dec 1989,1989-12-07
30 aug 2000,2000-08-30
28 november 1992,1992-11-28
wednesday november 15 1995,1995-11-15
22 january 1984,1984-01-22
sun 3 jun 2012,2012-06-03
thursday 26 july 1973,1973-07-26
saturday september 11 1993,1993-09-11
wed 7 mar 1979,1979-03-07
mar 17 1976,1976-03-17
friday 11 december 2020,2020-12-11
31 december 1994,1994-12-31
may 17 1971,1971-05-17
tuesday january 10 1978,1978-01-10
june 18 2002,2002-06-18
21 april 1986,1986-04-21
november 15 2006,2006-11-15
23 august 1979,1979-08-23
february 20 1990,1990-02-20
friday july 26 2019,2019-07-26
tuesday june 16 1970,1970-06-16
thursday 5 july 1979,1979-07-05
14 may 2016,2016-05-14
september 24 1994,1994-09-24
sunday 24 october 1993,1993-10-24
2 february 2006,2006-02-02
dec 25 1979,1979-12-25
april 16 1971,1971-04-16
monday 19 august 1985,1985-08-19
jun 10 1999,1999-06-10
28 october 2005,2005-10-28
july 21 2000,2000-07-21
tuesday october 28 1986,1986-10-28
14 aug 1996,1996-08-14
may 31 1996,1996-05-31
29 december 2016,2016-12-29
24 june 2006,2006-06-24
saturday october 14 2017,2017-10-14
11 october 1989,1989-10-11
saturday 5 june 2004,2004-06-05
june 13 2011,2011-06-13
march 2 2014,2014-03-02
august 26 2018,2018-08-26
march 6 1990,1990-03-06
3/27/12,2012-03-27
30/08/1975,1975-08-30
jul 10 2014,2014-07-10
july 29 2003,2003-07-29
wednesday april 13 1988,1988-04-13
december 27 1993,1993-12-27
april 13 2020,2020-04-13
thursday july 20 1978,1978-07-20
aug 26 2001,2001-08-26
november 10 2014,2014-11-10
january 25 2020,2020-01-25
january 17 1986,1986-01-17
dec 20 2002,2002-12-20
october 26 1978,1978-10-26
friday january 21 1994,1994-01-21
apr 20 1992,1992-04-20
9 october 2012,2012-10-09
mar 11 2008,2008-03-11
16 august 1979,1979-08-16
jun 28 2013,2013-06-28
1 october 2020,2020-10-01
6 november 2017,2017-11-06
14 jan 2019,2019-01-14
11 june 2016,2016-06-11
sep 19 2016,2016-09-19
sunday 3 september 2006,2006-09-03
march 12 2021,2021-03-12
sunday may 21 1978,1978-05-21
19 october 2020,2020-10-19
31 march 1988,1988-03-31
1 december 2013,2013-12-01
august 27 1972,1972-08-27
2 january 2006,2006-01-02
23 november 1982,1982-11-23
18 march 1995,1995-03-18
3 august 1996,1996-08-03
july 23 1984,1984-07-23
march 11 2007,2007-03-11
july 18 2004,2004-07-18
december 13 2017,2017-12-13
friday november 23 1990,1990-11-23
jan 17 2002,2002-01-17
november 20 2012,2012-11-20
16 march 1982,1982-03-16
16 apr 1979,1979-04-16
8 october 1978,1978-10-08
sep 10 1988,1988-09-10
monday september 20 1971,1971-09-20
sunday 27 july 2008,2008-07-27
18 june 2015,2015-06-18
mar 24 1975,1975-03-24
august 17 1981,1981-08-17
february 12 1993,1993-02-12
thursday september 8 1988,1988-09-08
september 12 1986,1986-09-12
7 january 2015,2015-01-07
monday august 19 1991,1991-08-19
15 october 1975,1975-10-15
8 december 1979,1979-12-08
dec 18 1987,1987-12-18
thursday august 20 1987,1987-08-20
11 july 1976,1976-07-11
january 4 1979,1979-01-04
september 14 1990,1990-09-14
26 february 1975,1975-02-26
15/09/2003,2003-09-15
thursday september 7 1972,1972-09-07
monday april 19 2004,2004-04-19
5/13/02,2002-05-13
tuesday february 26 2002,2002-02-26
20 aug 1996,1996-08-20
july 4 2018,2018-07-04
saturday august 7 2004,2004-08-07
3 may 2020,2020-05-03
august 20 2015,2015-08-20
25 june 1976,1976-06-25
jul 1 2014,2014-07-01
march 3 1979,1979-03-03
wed 20 dec 2017,2017-12-20
19 february 1991,1991-02-19
8 march 2004,2004-03-08
jun 3 2007,2007-06-03
jul 4 1998,1998-07-04
august 22 1981,1981-08-22
1 january 2001,2001-01-01
24/02/2000,2000-02-24
aug 24 2016,2016-08-24
13 april 2005,2005-04-13
november 30 2002,2002-11-30
fri 6 jun 1980,1980-06-06
17 february 1982,1982-02-17
4 december 1982,1982-12-04
11 september 1983,1983-09-11
sep 16 1989,1989-09-16
may 9 2000,2000-05-09
15 april 1997,1997-04-15
thu 1 nov 2001,2001-11-01
18/08/1974,1974-08-18
monday 12 november 1990,1990-11-12
monday april 22 2013,2013-04-22
may 22 2006,2006-05-22
october 18 1977,1977-10-18
october 17 1984,1984-10-17
january 23 2019,2019-01-23
jan 18 1984,1984-01-18
jul 5 2019,2019-07-05
14 october 1990,1990-10-14
3 february 1984,1984-02-03
23/06/2004,2004-06-23
30 august 1989,1989-08-30
26 august 1999,1999-08-26
monday march 18 2002,2002-03-18
june 15 1976,1976-06-15
10 october 1994,1994-10-10
april 16 2005,2005-04-16
29 august 1986,1986-08-29
nov 30 2020,2020-11-30
4 july 1982,1982-07-04
feb 22 2008,2008-02-22
5 december 2008,2008-12-05
4/28/95,1995-04-28
wednesday november 22 1989,1989-11-22
4/7/80,1980-04-07
september 25 1970,1970-09-25
saturday october 24 1992,1992-10-24
september 14 1995,1995-09-14
friday january 4 1980,1980-01-04
28 may 1989,1989-05-28
31 oct 2004,2004-10-31
monday 30 september 2019,2019-09-30
oct 4 1978,1978-10-04
thursday september 23 2004,2004-09-23
7/8/74,1974-07-08
feb 24 1982,1982-02-24
26/06/2010,2010-06-26
april 23 2004,2004-04-23
july 5 2005,2005-07-05
july 2 1972,1972-07-02
friday 2 december 1977,1977-12-02
jan 20 1989,1989-01-20
3 june 1998,1998-06-03
13 april 2008,2008-04-13
feb 6 1976,1976-02-06
4/15/06,2006-04-15
tue 25 jan 1983,1983-01-25
january 12 2011,2011-01-12
11 aug 2016,2016-08-11
28 january 2000,2000-01-28
30 march 2000,2000-03-30
22 september 1997,1997-09-22
sep 29 2018,2018-09-29
friday december 15 1972,1972-12-15
16 october 2018,2018-10-16
14 july 2016,2016-07-14
tuesday december 8 1981,1981-12-08
thursday october 22 1981,1981-10-22
jul 3 1976,1976-07-03
13 october 2003,2003-10-13
december 2 2017,2017-12-02
september 21 2010,2010-09-21
thu 15 may 2008,2008-05-15
monday 4 january 2021,2021-01-04
oct 1 2012,2012-10-01
apr 20 1990,1990-04-20
wednesday october 8 1980,1980-10-08
july 17 1986,1986-07-17
september 24 1988,1988-09-24
november 10 1985,1985-11-10
december 25 1977,1977-12-25
wednesday may 26 1976,1976-05-26
6/24/07,2007-06-24
feb 3 2017,2017-02-03
jun 19 2006,2006-06-19
april 22 2010,2010-04-22
29 april 2000,2000-04-29
18 may 1999,1999-05-18
monday 9 november 1992,1992-11-09
wed 5 mar 1986,1986-03-05
17 nov 2006,2006-11-17
september 14 2019,2019-09-14
sat 23 may 1981,1981-05-23
tuesday september 21 2004,2004-09-21
thursday 25 october 1973,1973-10-25
sun 17 sep 2000,2000-09-17
7 january 1976,1976-01-07
july 4 2004,2004-07-04
tuesday september 7 1971,1971-09-07
jun 13 1989,1989-06-13
2/5/72,1972-02-05
may 11 1987,1987-05-11
17 may 1994,1994-05-17
21 november 1987,1987-11-21
29 november 1990,1990-11-29
17 april 2006,2006-04-17
may 16 1997,1997-05-16
february 15 2013,2013-02-15
march 18 2016,2016-03-18
17 april 1974,1974-04-17
wednesday january 6 2016,2016-01-06
september 27 1994,1994-09-27
december 11 1970,1970-12-11
wednesday march 13 1974,1974-03-13
apr 29 2009,2009-04-29
may 22 2020,2020-05-22
15 february 1982,1982-02-15
monday september 22 1980,1980-09-22
26 july 1985,1985-07-26
june 27 2013,2013-06-27
nov 11 1974,1974-11-11
dec 4 2019,2019-12-04
january 14 2000,2000-01-14
8/20/98,1998-08-20
fri 24 nov 1972,1972-11-24
january 22 1970,1970-01-22
13 december 2010,2010-12-13
tuesday june 1 2021,2021-06-01
saturday october 27 1984,1984-10-27
tuesday june 25 1996,1996-06-25
10/7/06,2006-10-07
march 7 2008,2008-03-07
6/14/01,2001-06-14
9 may 1976,1976-05-09
7/1/89,1989-07-01
tuesday august 7 2001,2001-08-07
saturday june 17 2017,2017-06-17
24 december 2014,2014-12-24
29 october 2005,2005-10-29
thursday february 22 1990,1990-02-22
may 10 1992,1992-05-10
2/16/77,1977-02-16
apr 21 2000,2000-04-21
nov 10 1982,1982-11-10
2/17/80,1980-02-17
25 april 2012,2012-04-25
saturday march 23 2013,2013-03-23
7 february 1978,1978-02-07
august 5 2020,2020-08-05
5 may 1972,1972-05-05
wed 15 dec 1993,1993-12-15
september 24 1982,1982-09-24
feb 13 2015,2015-02-13
saturday 22 october 1983,1983-10-22
13 april 1982,1982-04-13
may 8 1985,1985-05-08
12/4/89,1989-12-04
12 jan 1970,1970-01-12
6/12/78,1978-06-12
july 19 1973,1973-07-19
4/6/85,1985-04-06
31 december 1998,1998-12-31
apr 2 2013,2013-04-02
6/14/11,2011-06-14
tuesday october 3 1995,1995-10-03
jul 26 2015,2015-07-26
21 october 1988,1988-10-21
9 july 2011,2011-07-09
mar 15 1993,1993-03-15
monday october 21 2013,2013-10-21
20 october 2010,2010-10-20
12/27/06,2006-12-27
12/10/78,1978-12-10
sep 5 1991,1991-09-05
23/08/1973,1973-08-23
monday 28 september 1970,1970-09-28
apr 23 1976,1976-04-23
wed 18 aug 2004,2004-08-18
may 25 2004,2004-05-25
2 november 2005,2005-11-02
april 29 2002,2002-04-29
friday january 22 1982,1982-01-22
sunday february 3 1980,1980-02-03
25 april 1984,1984-04-25
apr 18 2007,2007-04-18
24 september 1993,1993-09-24
aug 10 1978,1978-08-10
jan 16 1980,1980-01-16
october 29 1989,1989-10-29
october 31 1976,1976-10-31
22/08/1981,1981-08-22
25 august 2007,2007-08-25
7 september 1990,1990-09-07
26 september 2001,2001-09-26
oct 30 1983,1983-10-30
oct 5 1975,1975-10-05
monday 6 february 1978,1978-02-06
13 july 1980,1980-07-13
nov 8 1971,1971-11-08
january 4 2012,2012-01-04
august 12 1980,1980-08-12
02/09/2004,2004-09-02
16 february 2021,2021-02-16
sun 16 jan 1994,1994-01-16
december 17 1990,1990-12-17
1 november 1994,1994-11-01
sun 20 dec 2020,2020-12-20
tue 3 aug 1971,1971-08-03
21/09/1987,1987-09-21
november 2 2018,2018-11-02
october 19 1971,1971-10-19
may 2 2000,2000-05-02
saturday february 7 1970,1970-02-07
sep 7 1991,1991-09-07
june 1 1989,1989-06-01
thursday november 2 2017,2017-11-02
27/12/2001,2001-12-27
fri 17 nov 2000,2000-11-17
22 february 1991,1991-02-22
monday july 9 1973,1973-07-09
19 september 1971,1971-09-19
11 april 1972,1972-04-11
10/5/75,1975-10-05
tuesday may 18 1971,1971-05-18
tue 31 aug 2004,2004-08-31
dec 23 1990,1990-12-23
friday august 28 1998,1998-08-28
january 25 1989,1989-01-25
friday april 13 2001,2001-04-13
june 22 2012,2012-06-22
thu 9 feb 1989,1989-02-09
12/10/1975,1975-10-12
30/09/2013,2013-09-30
28 march 1999,1999-03-28
january 16 2018,2018-01-16
oct 25 1974,1974-10-25
september 4 1971,1971-09-04
october 20 1996,1996-10-20
february 1 1971,1971-02-01
16 august 1987,1987-08-16
feb 11 2020,2020-02-11
23 january 1971,1971-01-23
6/27/16,2016-06-27
tuesday 18 october 2005,2005-10-18
dec 8 2009,2009-12-08
august 5 1974,1974-08-05
jan 9 2016,2016-01-09
16 may 1970,1970-05-16
5 june 1991,1991-06-05
8 december 2018,2018-12-08
december 6 1976,1976-12-06
august 28 2003,2003-08-28
apr 15 1999,1999-04-15
6 february 1977,1977-02-06
september 18 1992,1992-09-18
saturday february 12 2005,2005-02-12
tuesday october 12 1971,1971-10-12
tuesday november 26 2019,2019-11-26
october 28 1970,1970-10-28
monday august 29 2016,2016-08-29
23 december 1977,1977-12-23
13 may 2008,2008-05-13
oct 23 2014,2014-10-23
june 20 2013,2013-06-20
may 10 1972,1972-05-10
june 7 2012,2012-06-07
17 august 1985,1985-08-17
29 september 2000,2000-09-29
friday 12 december 1986,1986-12-12
wednesday september 8 1993,1993-09-08
april 21 1995,1995-04-21
23 february 2008,2008-02-23
4 october 1974,1974-10-04
1 may 2018,2018-05-01
jul 26 2005,2005-07-26
12/24/77,1977-12-24
september 14 2018,2018-09-14
6 june 1974,1974-06-06
september 7 1986,1986-09-07
29/01/1987,1987-01-29
24/05/2009,2009-05-24
13 august 2000,2000-08-13
jun 17 2001,2001-06-17
2 january 2004,2005-01-02
december 30 1972,1972-12-30
9/20/72,1972-09-20
jun 6 2014,2014-06-06
5 june 2001,2001-06-05
16 august 1975,1975-08-16
may 15 1982,1982-05-15
october 4 1980,1980-10-04
jul 1 2009,2009-07-01
7/19/05,2005-07-19
may 31 2012,2012-05-31
sep 25 1984,1984-09-25
january 29 2008,2008-01-29
12 apr 2012,2012-04-12
21 february 2011,2011-02-21
7/18/08,2008-07-18
3 september 1986,1986-09-03
monday september 5 1983,1983-09-05
march 25 1986,1986-03-25
july 6 1989,1989-07-06
monday 9 october 1972,1972-10-09
29 november 1978,1978-11-29
july 22 1993,1993-07-22
wednesday june 17 2009,2009-06-17
june 17 2020,2020-06-17
june 8 2019,2019-06-08
17 july 2010,2010-07-17
jan 13 2001,2001-01-13
december 14 2019,2019-12-14
sunday 19 may 1991,1991-05-19
28 october 1999,1999-10-28
wed 9 jul 2003,2003-07-09
2/11/70,1970-02-11
12 may 1990,1990-05-12
april 13 2011,2011-04-13
29 december 1977,1977-12-29
wednesday june 29 1994,1994-06-29
4 march 2020,2020-03-04
friday june 10 1983,1983-06-10
sunday april 16 1989,1989-04-16
jan 10 1980,1980-01-10
aug 13 2010,2010-08-13
thu 3 sep 2009,2009-09-03
30 jun 2018,2018-06-30
21 december 2008,2008-12-21
october 15 2019,2019-10-15
january 31 2006,2006-01-31
february 12 1982,1982-02-12
jan 1 1974,1974-01-01
december 13 1985,1985-12-13
apr 28 1987,1987-04-28
march 24 1982,1982-03-24
may 8 2005,2005-05-08
apr 24 1972,1972-04-24
12/04/2004,2004-04-12
9/27/70,1970-09-27
november 11 2012,2012-11-11
may 29 2021,2021-05-29
sunday april 17 1977,1977-04-17
october 12 1982,1982-10-12
mar 28 1977,1977-03-28
23 may 2002,2002-05-23
march 5 2001,2001-03-05
february 20 2005,2005-02-20
30 jul 1988,1988-07-30
jun 12 1985,1985-06-12
29 december 1973,1973-12-29
august 18 1999,1999-08-18
23 december 1986,1986-12-23
may 9 1989,1989-05-09
jul 28 1992,1992-07-28
tuesday february 12 1991,1991-02-12
15 sep 1986,1986-09-15
sep 22 1993,1993-09-22
10 june 2003,2003-06-10
23 january 1999,1999-01-23
30 august 2015,2015-08-30
4 june 1974,1974-06-04
6 december 1983,1983-12-06
nov 21 1983,1983-11-21
friday 12 october 1984,1984-10-12
february 14 2019,2019-02-14
20/11/2003,2003-11-20
tuesday 6 november 2001,2001-11-06
2 june 2014,2014-06-02
wed 26 feb 1992,1992-02-26
march 4 1980,1980-03-04
thursday january 18 2001,2001-01-18
dec 8 2014,2014-12-08
13 july 2006,2006-07-13
3/29/97,1997-03-29
may 22 1974,1974-05-22
9/19/71,1971-09-19
16 may 2021,2021-05-16
oct 21 1979,1979-10-21
monday march 25 2002,2002-03-25
october 29 1984,1984-10-29
18 july 2008,2008-07-18
tuesday august 11 2009,2009-08-11
jun 29 2020,2020-06-29
october 22 2004,2004-10-22
march 29 1973,1973-03-29
november 12 2002,2002-11-12
thursday october 4 2018,2018-10-04
27 june 1987,1987-06-27
sun 1 mar 1970,1970-03-01
sunday june 5 1977,1977-06-05
nov 19 2004,2004-11-19
thursday june 14 2001,2001-06-14
oct 14 1972,1972-10-14
may 2 1985,1985-05-02
wednesday 25 january 1978,1978-01-25
26/02/2015,2015-02-26
19 february 1971,1971-02-19
tue 27 feb 1979,1979-02-27
10 december 1974,1974-12-10
march 30 1985,1985-03-30
tuesday may 28 1996,1996-05-28
8/20/05,2005-08-20
wednesday 29 december 1971,1971-12-29
may 8 2007,2007-05-08
7 may 1993,1993-05-07
1 november 1983,1983-11-01
jul 2 1987,1987-07-02
august 21 2013,2013-08-21
mar 24 2019,2019-03-24
3 january 2008,2008-01-03
1 dec 1988,1988-12-01
27 april 1991,1991-04-27
sun 21 oct 1984,1984-10-21
10 february 2018,2018-02-10
1 july 1985,1985-07-01
may 24 1998,1998-05-24
april 8 1973,1973-04-08
mar 25 1987,1987-03-25
1 june 2014,2014-06-01
october 4 2006,2006-10-04
14 dec 2011,2011-12-14
22 july 2020,2020-07-22
02/10/1970,1970-10-02
6 september 2005,2005-09-06
14 february 1986,1986-02-14
29 january 2017,2017-01-29
2 january 1999,2000-01-02
jan 30 1993,1993-01-30
27/08/1998,1998-08-27
10 april 1992,1992-04-10
july 9 2020,2020-07-09
mar 19 1995,1995-03-19
26 jun 1975,1975-06-26
saturday december 27 1975,1975-12-27
jun 4 2012,2012-06-04
dec 11 1996,1996-12-11
tue 16 apr 2002,2002-04-16
monday march 15 1982,1982-03-15
april 18 1988,1988-04-18
july 8 1978,1978-07-08
jan 21 1975,1975-01-21
oct 15 2016,2016-10-15
april 22 1980,1980-04-22
january 9 1973,1973-01-09
4/21/79,1979-04-21
june 13 1985,1985-06-13
january 25 1978,1978-01-25
14 may 2010,2010-05-14
10 august 1971,1971-08-10
13 may 1984,1984-05-13
08/03/1976,1976-03-08
june 20 1992,1992-06-20
april 21 1986,1986-04-21
17 january 1973,1973-01-17
march 22 2003,2003-03-22
august 9 1985,1985-08-09
may 8 1979,1979-05-08
november 14 2018,2018-11-14
oct 25 1996,1996-10-25
7 june 1977,1977-06-07
monday april 9 2001,2001-04-09
24 february 1987,1987-02-24
5 april 2008,2008-04-05
sunday november 6 1983,1983-11-06
jun 8 1973,1973-06-08
saturday september 14 1991,1991-09-14
tuesday october 29 1996,1996-10-29
24 oct 1974,1974-10-24
feb 19 1999,1999-02-19
2/25/00,2000-02-25
20 december 1998,1998-12-20
may 2 1998,1998-05-02
may 16 2007,2007-05-16
monday 12 june 1978,1978-06-12
2 january 2013,2013-01-02
26 january 2020,2020-01-26
20 january 1985,1985-01-20
august 14 2008,2008-08-14
december 18 2016,2016-12-18
thursday march 28 2013,2013-03-28
fri 28 feb 2020,2020-02-28
tuesday 13 january 2004,2004-01-13
6 february 2011,2011-02-06
sun 4 feb 2018,2018-02-04
september 23 1986,1986-09-23
may 12 1991,1991-05-12
monday june 28 1976,1976-06-28
sep 30 2006,2006-09-30
8 july 1971,1971-07-08
18/11/1982,1982-11-18
may 9 1970,1970-05-09
friday 26 march 2004,2004-03-26
tuesday november 21 1972,1972-11-21
thursday december 17 1992,1992-12-17
sun 7 jun 1981,1981-06-07
august 23 2015,2015-08-23
jul 11 1998,1998-07-11
thursday 6 may 1993,1993-05-06
2 june 1973,1973-06-02
september 30 1985,1985-09-30
30 apr 1980,1980-04-30
11 october 1987,1987-10-11
jul 6 1990,1990-07-06
mon 18 mar 2002,2002-03-18
1/3/15,2015-01-03
2/24/12,2012-02-24
4 may 1989,1989-05-04
sat 18 dec 1976,1976-12-18
wednesday 22 april 1992,1992-04-22
19 january 1975,1975-01-19
27 july 1985,1985-07-27
monday december 24 2012,2012-12-24
24 august 2009,2009-08-24
november 8 2000,2000-11-08
7 mar 2011,2011-03-07
jul 24 2004,2004-07-24
5 february 1985,1985-02-05
11 july 1989,1989-07-11
friday december 11 1970,1970-12-11
22/07/2015,2015-07-22
august 10 2014,2014-08-10
19 september 1984,1984-09-19
12 december 1995,1995-12-12
oct 19 2007,2007-10-19
8 jan 1978,1978-01-08
feb 16 1984,1984-02-16
thu 26 feb 1976,1976-02-26
nov 9 1999,1999-11-09
28/05/1997,1997-05-28
25 october 2002,2002-10-25
may 2 2012,2012-05-02
4 march 2004,2004-03-04
26 apr 1998,1998-04-26
march 31 1984,1984-03-31
tuesday march 13 1979,1979-03-13
november 26 1975,1975-11-26
29/04/2005,2005-04-29
14/04/1979,1979-04-14
saturday november 2 1996,1996-11-02
wednesday december 18 2002,2002-12-18
sunday july 17 2016,2016-07-17
28/08/2009,2009-08-28
wednesday 9 february 2005,2005-02-09
october 7 2004,2004-10-07
9 april 2006,2006-04-09
monday september 3 2018,2018-09-03
tuesday january 16 2007,2007-01-16
december 6 1973,1973-12-06
may 21 2008,2008-05-21
december 25 2000,2000-12-25
thursday december 25 1986,1986-12-25
apr 24 1976,1976-04-24
2/23/96,1996-02-23
monday november 25 1991,1991-11-25
4 september 1974,1974-09-04
september 5 1975,1975-09-05
sunday september 18 2011,2011-09-18
7 may 1995,1995-05-07
october 17 1978,1978-10-17
31/10/1984,1984-10-31
23 september 1972,1972-09-23
wednesday august 30 1972,1972-08-30
04/10/1986,1986-10-04
saturday november 25 1978,1978-11-25
february 2 1972,1972-02-02
15/05/1977,1977-05-15
thursday september 8 2016,2016-09-08
